Wavelength,Dual-GCaMP6f,Dual-tdTomato
849.905,3.99E-05,4.82E-06
850.645,-0.000202865,2.49E-06
851.384,4.81E-05,1.32E-06
852.123,-0.000329967,7.80E-07
852.862,0.000163056,3.42E-07
853.601,-7.69E-05,7.44E-08
854.34,-0.000202052,-1.51E-08
855.078,3.73E-05,8.50E-09
855.817,5.34E-04,1.23E-07
856.556,0.000161137,3.23E-07
857.294,1.57E-04,3.09E-07
858.033,-0.000330153,2.84E-07
858.771,0.000167473,2.99E-07
859.509,2.92E-04,3.74E-07
860.248,-8.32E-05,2.51E-07
860.986,4.14E-04,3.76E-08
861.724,0.000535284,-2.09E-07
862.462,2.82E-04,-3.17E-07
863.2,-0.000204706,-3.89E-07
863.937,-8.01E-05,-4.83E-07
864.675,6.61E-04,-5.58E-07
865.413,1.63E-04,-5.53E-07
866.15,-0.000322661,-2.14E-06
866.888,4.78E-05,-4.64E-06
867.625,1.69E-04,-8.97E-06
868.362,-0.000207614,-1.27E-05
869.1,5.33E-04,-4.87E-05
869.837,0.000280414,-8.63E-05
870.574,5.37E-04,-7.02E-05
871.311,1.64E-04,9.67E-05
872.048,4.15E-05,0.000105723
872.785,5.39E-04,8.16E-05
873.521,5.34E-04,7.27E-05
874.258,-3.26E-04,4.32E-05
874.995,0.000164956,2.96E-05
875.731,-3.28E-04,2.46E-05
876.468,1.70E-04,3.34E-05
877.204,0.000283078,-1.28E-05
877.94,4.70E-05,-0.00030546
878.676,-7.90E-05,-0.000738295
879.413,0.000290168,-4.80E-04
880.149,-7.79E-05,0.000430103
880.885,2.86E-04,0.000362315
881.62,0.000165759,0.000157539
882.356,4.95E-05,9.56E-05
883.092,4.42E-05,8.53E-05
883.828,4.83E-05,5.11E-05
884.563,-7.77E-05,1.31E-05
885.299,4.80E-05,-1.67E-05
886.034,1.63E-04,-8.92E-06
886.769,-0.000200877,-2.28E-06
887.504,-8.48E-05,-5.00E-06
888.24,4.06E-05,2.65E-06
888.975,0.000289257,1.01E-05
889.71,-2.01E-04,1.39E-05
890.444,0.000285575,7.23E-06
891.179,3.64E-05,-6.03E-06
891.914,-8.72E-05,-1.17E-05
892.649,4.13E-04,-8.96E-06
893.383,-0.000451771,-2.01E-06
894.118,0.000281531,-2.94E-06
894.852,3.86E-05,4.67E-06
895.587,0.000651858,2.16E-05
896.321,4.36E-05,1.46E-05
897.055,2.82E-04,1.79E-05
